"time","MLoad.Sa","MLoad.Sb","MLoad.Sc","MLoad.Mpd","MLoad.Mpq","MLoad.Mnd","MLoad.Mnq","MLoad.Mhmd","MLoad.Mhmq","MGrid.Sa","MGrid.Sb","MGrid.Sc","DC_AC1.Sa","DC_AC1.Sb","DC_AC1.Sc","MGrid.Mpd","MGrid.Mpq","MGrid.Mnd","MGrid.Mnq","MGrid.Mhmd","MGrid.Mhmq","DC_AC1.Spd","DC_AC1.Spq","DC_AC1.Snd","DC_AC1.Snq","DC_AC1.Szmd","DC_AC1.Szmq","Va.v"
0.0061,-9.04653,27.4539,7.45464,32.0711,-9.08977,15.8046,-9.97153,-7.86245,-4.53678,-13.9736,20.5407,-6.56704,4.92711,6.91317,14.0217,20.9811,-0.813867,0.808667,0.0918501,-1.62637e-12,1.95774e-12,2.4403e-312,-9.08977,15.8046,-9.97153,-7.86245,-4.53678,-113.026
0.0062,-10.76,28.0857,8.84693,32.1288,-9.22453,15.9434,-10.0189,-7.95993,-4.44638,-14.5936,20.4209,-5.8273,3.83361,7.66476,14.6742,21.0388,-0.717109,0.716599,0.027028,-1.66377e-12,1.98445e-12,5.14835e-316,-9.22453,15.9434,-10.0189,-7.95993,-4.44638,-117.717
0.0063,-12.4631,28.6914,10.2328,32.1793,-9.35704,16.0759,-10.0694,-8.05317,-4.35316,-15.1908,20.2642,-5.0734,2.72774,8.42714,15.3062,21.0893,-0.625114,0.62467,-0.0235607,-1.69075e-12,2.01694e-12,5.1498e-316,-9.35704,16.0759,-10.0694,-8.05317,-4.35316,-122.24
0.0064,-14.1531,29.2698,11.6101,32.2231,-9.48712,16.2023,-10.1229,-8.14202,-4.25734,-15.7641,20.0713,-4.3072,1.61094,9.1985,15.9173,21.1331,-0.537755,0.53432,-0.0606891,-1.72186e-12,2.05474e-12,3.03445e-312,-9.48712,16.2023,-10.1229,-8.14202,-4.25734,-126.59
0.0065,-15.8275,29.8198,12.9768,32.2605,-9.61462,16.3228,-10.179,-8.2264,-4.15918,-16.3122,19.8428,-3.53058,0.484726,9.977,16.5074,21.1705,-0.454901,0.446843,-0.0852399,-1.75647e-12,2.08605e-12,5.14851e-316,-9.61462,16.3228,-10.179,-8.2264,-4.15918,-130.76
0.0066,-17.4834,30.3402,14.3309,32.2919,-9.73941,16.4374,-10.2375,-8.30621,-4.05892,-16.8341,19.5794,-2.74538,-0.649329,10.7608,17.0763,21.2019,-0.376419,0.363388,-0.0981857,-1.78476e-12,2.12061e-12,5.15372e-316,-9.73941,16.4374,-10.2375,-8.30621,-4.05892,-134.745
0.0067,-19.1184,30.8302,15.6704,32.3174,-9.86138,16.5463,-10.2981,-8.38138,-3.95682,-17.3288,19.2822,-1.95341,-1.78961,11.548,17.6238,21.2274,-0.302178,0.284951,-0.100571,-1.79815e-12,2.15295e-12,4.24399e-314,-9.86138,16.5463,-10.2981,-8.38138,-3.95682,-138.537
0.0068,-20.7298,31.2886,16.9932,32.3375,-9.98043,16.6495,-10.3606,-8.45187,-3.85311,-17.7954,18.9518,-1.15645,-2.93445,12.3368,18.1497,21.2475,-0.232046,0.212378,-0.0934929,-1.82879e-12,2.18768e-12,5.17242e-316,-9.98043,16.6495,-10.3606,-8.45187,-3.85311,-142.133
0.0069,-22.3153,31.7146,18.2974,32.3525,-10.0965,16.7474,-10.4247,-8.51763,-3.74804,-18.2332,18.5894,-0.35624,-4.08214,13.1252,18.6537,21.2625,-0.165891,0.146364,-0.0780855,-1.84903e-12,2.21892e-12,7.11974e-316,-10.0965,16.7474,-10.4247,-8.51763,-3.74804,-145.527
0.007,-23.8723,32.1072,19.5811,32.3626,-10.2094,16.8399,-10.4904,-8.57865,-3.64184,-18.6414,18.1959,0.4455,-5.23093,13.9113,19.1356,21.2726,-0.103581,0.0874564,-0.0555015,-1.86238e-12,2.24952e-12,1.29442e-312,-10.2094,16.8399,-10.4904,-8.57865,-3.64184,-148.714
0.0071,-25.3984,32.4657,20.8423,32.3682,-10.3192,16.9271,-10.5572,-8.63493,-3.53475,-19.0193,17.7722,1.2471,-6.37905,14.6934,19.5952,21.2782,-0.0449863,0.0360596,-0.0268976,-1.87945e-12,2.28345e-12,8.73906e-316,-10.3192,16.9271,-10.5572,-8.63493,-3.53475,-151.69
0.0072,-26.8913,32.7892,22.0791,32.3695,-10.4258,17.0093,-10.6251,-8.68646,-3.42701,-19.3666,17.3197,2.04694,-7.52469,15.4695,20.0322,21.2795,0.0100222,-0.00755929,0.00658046,-1.902e-12,2.31409e-12,7.11975e-316,-10.4258,17.0093,-10.6251,-8.68646,-3.42701,-154.45
